time,latitude,longitude,700,850,1700,1900
0,41.87080905,-87.64716233,86.69176,102.9957,94.65754,92.9053
1,41.87081605,-87.64718043,82.79332,98.66756,94.23566,93.06937
2,41.87082952,-87.64721521,80.53551,93.85506,102.6263,97.35062
3,41.87083634,-87.6472322,84.85582,94.33943,95.10285,95.56937
4,41.8708491,-87.64726449,83.59801,108.2379,91.79035,92.44437
5,41.87085511,-87.64727984,82.52769,93.87068,99.75129,95.0303
6,41.87086702,-87.64730964,80.73082,98.32381,90.81379,101.335
7,41.87087308,-87.64732434,77.98863,90.67537,108.7357,101.5928
8,41.87087308,-87.64732434,81.91051,97.89412,107.4466,95.47562
9,41.87087308,-87.64732434,75.26207,95.21443,97.89973,99.58499
10,41.87087308,-87.64732434,80.15269,94.26131,91.30598,90.48343
11,41.87087308,-87.64732434,72.99644,100.3629,99.93879,88.04593
12,41.87087308,-87.64732434,79.65269,90.49568,91.93098,92.56155
13,41.87087308,-87.64732434,82.38707,111.3551,99.68879,100.1709
14,41.87087308,-87.64732434,76.51988,102.1051,92.68098,87.41312
15,41.87087308,-87.64732434,75.44176,94.85506,99.12629,103.9912
16,41.87087308,-87.64732434,88.25426,101.7926,91.67316,92.56155
17,41.87087308,-87.64732434,76.01988,94.70662,91.07941,97.11624
18,41.87087308,-87.64732434,74.61363,107.7847,90.37629,93.42093
19,41.87087308,-87.64732434,73.63707,90.43318,94.68879,96.80374
20,41.87087308,-87.64732434,77.30894,100.9019,102.9935,95.30374
21,41.87087308,-87.64732434,78.35582,93.50349,84.6966,94.77249
22,41.87087308,-87.64732434,79.91051,104.0504,92.58723,87.88187
23,41.87087308,-87.64732434,72.57457,100.1519,98.4466,98.72562
24,41.87087308,-87.64732434,85.56676,96.78474,94.10285,95.28812
25,41.87087308,-87.64732434,75.61363,88.72224,90.14191,101.7491
26,41.87087308,-87.64732434,73.60582,96.01912,89.4466,88.57718
27,41.87087308,-87.64732434,74.30113,92.38631,98.17316,89.5303
28,41.87087842,-87.64733711,74.68394,89.65974,95.43098,99.56937
29,41.87087842,-87.64733711,72.69957,98.70662,98.06379,90.8428
30,41.87089398,-87.64736743,73.60582,92.26131,92.72785,91.55374
31,41.87089888,-87.64737883,74.39488,93.38631,95.54816,99.24124
32,41.87091027,-87.64740212,73.47301,100.8551,95.58723,93.52249
33,41.87091632,-87.6474137,74.73082,94.12068,93.58723,93.79593
34,41.87092827,-87.64743597,76.09801,93.51912,96.45441,91.0928
35,41.87093436,-87.64744681,74.58238,96.13631,96.61066,109.1162
36,41.87094644,-87.6474677,75.16051,96.87849,91.3841,102.1006
37,41.87095248,-87.6474778,73.97301,94.33943,96.49348,106.7569
38,41.87096519,-87.64749818,73.99644,97.80818,103.056,93.66312
39,41.87097144,-87.64750795,75.23863,97.04256,95.31379,93.35843
40,41.87097768,-87.64751748,75.33238,99.51131,91.14973,100.3194
41,41.87097768,-87.64751748,74.16051,98.71443,92.50129,106.0616
42,41.87098993,-87.64753466,74.46519,109.8629,100.1966,98.28812
43,41.87099603,-87.64754286,76.46519,94.51912,90.09504,95.2803
44,41.87100821,-87.64755881,73.92613,98.90193,100.4154,97.79593
45,41.87101426,-87.64756673,74.16051,99.99568,95.8216,99.54593
46,41.87102639,-87.64758216,74.72301,97.90193,92.58723,102.7334
47,41.87103243,-87.64758966,74.75426,98.80818,97.59504,91.91312
48,41.87104439,-87.64760442,74.27769,93.49568,97.70441,92.92874
49,41.87105051,-87.6476115,77.39488,95.40193,99.54816,95.93655
50,41.87106284,-87.6476251,75.20738,101.7613,104.2669,93.63968
51,41.87106915,-87.64763145,73.83238,95.51912,96.89973,101.5694
52,41.87108158,-87.6476439,76.39488,100.2926,103.4388,90.43655
53,41.87108765,-87.6476501,74.76988,91.21443,89.49348,94.97562
54,41.87109974,-87.6476623,75.14488,101.4879,106.306,96.54593
55,41.87110576,-87.64766832,76.56676,86.16756,87.5091,94.73343
56,41.87111776,-87.64768016,76.23082,97.92537,100.3216,104.6162
57,41.87112373,-87.64768591,75.00426,99.87849,92.83723,95.66312
58,41.87113567,-87.64769723,76.98082,100.5816,91.56379,96.19437
59,41.87114165,-87.64770278,76.20738,91.96443,93.71223,93.42874
60,41.87115363,-87.64771371,75.60582,91.03474,91.51691,98.6553
61,41.8711596,-87.64771905,75.68394,92.22224,92.05598,95.33499
62,41.87117141,-87.64772946,76.01988,92.23787,91.2591,107.0147
63,41.87117729,-87.64773451,76.06676,99.68318,107.3919,90.6553
64,41.87118903,-87.64774444,76.27769,92.01131,97.68098,97.75687
65,41.87119472,-87.64774952,76.47301,93.54256,96.16535,98.67874
66,41.87120629,-87.64775918,75.86363,99.13631,93.89191,95.8428
67,41.87121198,-87.64776404,75.02769,99.53474,89.07941,93.56155
68,41.87122333,-87.6477737,78.17613,95.40974,93.5716,92.05374
69,41.871229,-87.6477785,75.88707,94.44881,96.56379,94.44437
70,41.87124055,-87.6477876,75.76988,98.55037,95.89191,113.5381
71,41.87124643,-87.64779193,75.75426,91.01131,99.15754,91.97562
72,41.87125821,-87.64780041,77.67613,98.37068,99.5716,99.72562
73,41.87126408,-87.64780459,76.79332,95.40193,93.42316,106.1397
74,41.87127578,-87.64781281,76.06676,99.91756,94.7591,88.51468
75,41.87128165,-87.64781684,77.84019,98.63631,96.89973,96.44437
76,41.87129337,-87.64782477,76.01988,92.73787,90.70441,94.49124
77,41.87129921,-87.64782869,76.02769,95.94099,100.1029,95.02249
78,41.87131087,-87.64783626,77.53551,96.01912,89.43879,92.52249
79,41.87131669,-87.64783997,76.33238,95.65974,99.51691,89.6553
80,41.8713283,-87.64784735,76.44957,100.8551,100.2435,106.1319
81,41.8713341,-87.647851,75.58238,98.87849,91.37629,89.17874
82,41.87134553,-87.64785838,76.20738,96.22224,99.8216,89.13968
83,41.87135115,-87.64786211,75.97301,92.44881,100.9857,91.99905
84,41.8713624,-87.64786944,77.14488,96.47224,95.73566,97.56155
85,41.87136802,-87.64787306,74.61363,98.76131,86.93879,95.54593
86,41.87137948,-87.64787975,74.11363,96.29256,101.4779,93.04593
87,41.87138521,-87.64788306,74.92613,97.57381,90.14191,91.93655
88,41.8713967,-87.64788961,76.51988,91.12849,93.83723,94.79593
89,41.87140244,-87.64789285,74.61363,94.52693,97.18098,109.5772
90,41.87141392,-87.64789927,76.88707,99.40974,102.0794,93.00687
91,41.87141967,-87.64790241,74.61363,92.28474,94.64191,90.3428
92,41.87143118,-87.64790853,75.63707,92.71443,89.60285,94.88187
93,41.87143693,-87.64791152,75.60582,100.2769,89.23566,89.83499
94,41.87144844,-87.6479174,76.14488,93.21443,94.39973,101.4756
95,41.87145423,-87.64792029,75.91051,99.40974,90.8216,95.31155
96,41.87146579,-87.647926,76.84019,86.83943,94.32941,89.44437
97,41.87147156,-87.64792881,75.95738,97.35506,98.10285,92.95218
98,41.87148308,-87.64793434,75.23863,92.89412,104.1966,96.58499
99,41.87148883,-87.64793707,78.41832,121.8551,92.1966,96.61624
100,41.8715003,-87.64794244,76.7377,92.18224,106.3285,96.31843
101,41.87150595,-87.6479452,76.37926,97.54256,93.17316,92.39749
102,41.87151724,-87.64795075,76.65269,93.43318,92.64191,94.91312
103,41.87152288,-87.64795355,77.37926,100.441,99.97004,103.0303
104,41.87153415,-87.64795915,77.74644,94.40974,100.7044,95.31155
105,41.87153976,-87.64796191,77.16832,93.89412,110.5091,104.0537
106,41.87153976,-87.64796191,77.30113,92.63631,99.91535,89.77249
107,41.87153976,-87.64796191,78.86363,106.3004,94.61066,87.7178
108,41.87153976,-87.64796191,76.80113,89.91756,88.57941,89.22562
109,41.87154576,-87.64796466,78.77769,94.17537,99.78254,92.51468
110,41.87155798,-87.64796983,77.98082,92.98787,109.0247,99.20218
111,41.87156409,-87.64797241,75.95738,91.52693,112.0091,94.79593
112,41.87157614,-87.64797779,76.86363,89.34724,95.07941,99.70218
113,41.87157614,-87.64797779,76.09019,102.2222,100.2904,95.5928
114,41.87157614,-87.64797779,78.37926,97.40193,87.30598,94.98343
115,41.87158232,-87.64798067,76.88707,101.9644,95.9466,91.55374
116,41.87159469,-87.64798641,75.72301,93.90974,98.75129,103.3194
117,41.87160083,-87.64798936,76.88707,95.99568,102.9857,91.35062
118,41.87161302,-87.64799534,75.74644,108.4879,98.96223,94.45218
119,41.87161906,-87.64799836,76.12144,94.99568,92.76691,93.83499
120,41.87161906,-87.64799836,78.30894,94.89412,98.64191,91.72562
121,41.87162509,-87.64800156,75.89488,91.14412,91.14973,92.91312
122,41.87163694,-87.64800776,77.51895,93.22912,91.58629,97.97468
123,41.87164265,-87.64801093,77.38614,97.87756,92.75035,91.58405
124,41.87164833,-87.64801424,78.69083,95.92443,94.87535,94.7403
125,41.87164833,-87.64801424,77.77676,99.76818,93.10973,104.9356
126,41.87165369,-87.64801762,77.63614,95.65099,103.68,96.06062
127,41.871659,-87.64802102,76.87833,92.01037,98.43785,95.76374
128,41.87166955,-87.64802797,78.84708,89.38537,92.0316,100.3966
129,41.87166955,-87.64802797,78.21426,90.40881,103.6722,108.6466
130,41.87166955,-87.64802797,76.7377,89.73693,91.80504,99.06843
131,41.87166955,-87.64802797,78.54239,91.41662,90.92223,99.73249
132,41.87167436,-87.64803191,76.76988,96.97224,103.2982,96.8428
133,41.87168007,-87.64803703,78.05113,92.03474,91.37629,90.92874
134,41.87169155,-87.64804767,78.03551,104.2222,92.75129,94.74905
135,41.87169614,-87.64805167,76.98082,92.95662,87.81379,91.2178
136,41.87170441,-87.64805876,78.47301,89.88631,102.1575,95.85062
137,41.87170848,-87.64806242,76.70738,93.68318,91.32941,97.07718
138,41.87171252,-87.64806613,79.26207,92.80037,96.71223,95.8428
139,41.87171252,-87.64806613,78.01207,100.9957,108.0482,95.19437
140,41.8717205,-87.6480736,78.7377,93.31506,87.64098,100.9903
141,41.8717245,-87.64807742,78.19083,86.08068,103.4379,95.48249
142,41.87173218,-87.64808501,76.33145,92.52599,92.99254,89.12312
143,41.87173587,-87.64808875,78.63614,93.69006,106.2113,91.72468
144,41.87173913,-87.64809306,77.59708,94.85412,97.1566,104.9356
145,41.87174225,-87.64809753,78.97208,90.75256,94.98473,92.31062
146,41.87174526,-87.64810212,80.1127,93.06506,101.5863,92.74812
147,41.87174526,-87.64810212,77.56583,92.96349,95.18004,94.34187
148,41.87175191,-87.64810907,78.72989,97.31506,94.64098,95.24812
149,41.87175191,-87.64810907,76.77676,89.08068,91.63316,103.2794
150,41.87175191,-87.64810907,77.3627,100.6901,96.39098,93.01374
151,41.87175191,-87.64810907,79.29239,96.07287,97.06285,94.01374
152,41.87175757,-87.64811647,77.05801,102.651,121.0238,106.0997
153,41.87176027,-87.64812016,79.75333,92.43224,96.5316,92.34187
154,41.87176027,-87.64812016,78.33926,90.19787,108.1879,98.91999
155,41.87176282,-87.64812383,77.09708,96.97131,90.89098,95.08405
156,41.87176774,-87.64813107,79.62051,92.98693,92.8441,105.0606
157,41.87176774,-87.64813107,77.47208,89.86974,96.66441,97.77937
158,41.87176774,-87.64813107,77.33145,105.4947,105.9144,89.16218
159,41.87176774,-87.64813107,78.1752,90.70568,96.03941,105.1544
160,41.87176774,-87.64813107,79.75333,97.86193,88.66441,106.3184
161,41.87176774,-87.64813107,77.54239,94.71349,101.8832,106.9747
162,41.87176774,-87.64813107,78.96426,106.7682,98.08629,98.9278
163,41.87176774,-87.64813107,77.68301,90.22131,89.82066,94.66218
164,41.87177179,-87.6481375,78.33145,99.47131,104.2504,96.03718
165,41.87177179,-87.6481375,81.06583,98.93224,99.23473,106.4669
166,41.87177179,-87.6481375,78.44864,98.61974,89.23473,94.19343
167,41.87177179,-87.6481375,78.69083,102.0494,91.87535,93.19343
168,41.87177179,-87.6481375,79.44864,88.47131,97.1566,98.13874
169,41.87177333,-87.64814091,78.91739,87.50256,94.18004,93.57624
170,41.87177333,-87.64814091,78.06583,94.22131,101.0629,93.79499
171,41.87177333,-87.64814091,78.4252,96.59631,91.38316,84.32624
172,41.87177452,-87.64814446,77.76114,88.84631,95.31285,94.59187
173,41.87177452,-87.64814446,78.33926,93.18224,91.99254,99.59968
174,41.87177557,-87.64814804,78.29239,102.2135,94.85973,99.52155
175,41.87177659,-87.64815154,79.50333,88.47912,95.18004,99.96687
176,41.87177824,-87.64815893,81.3002,98.04162,100.5863,94.52937
177,41.87177919,-87.64816218,78.65958,88.58849,99.2816,92.08405
178,41.87178019,-87.64816518,77.70645,94.22131,94.57848,96.0528
179,41.87178019,-87.64816518,79.33145,98.51037,89.10191,89.53718
180,41.87178019,-87.64816518,79.69083,89.38537,95.10973,99.68562
181,41.87178019,-87.64816518,78.47208,98.99474,88.99254,94.82624
182,41.87178019,-87.64816518,80.01114,86.73693,98.4066,97.38874
183,41.87178019,-87.64816518,79.1127,92.72912,97.57848,104.7716
184,41.87178017,-87.64816929,77.3627,91.69006,87.9691,102.9981
185,41.87178017,-87.64816929,79.04239,89.92443,98.3441,99.09187
186,41.87178017,-87.64816929,78.62051,105.1432,96.94566,91.20124
187,41.87178017,-87.64816929,79.1752,94.05724,93.91441,91.96687
188,41.87178017,-87.64816929,79.54239,88.64318,98.45348,93.73249
189,41.87178017,-87.64816929,81.32364,93.08068,99.04723,108.7403
190,41.87178017,-87.64816929,81.3002,103.1588,91.72691,95.62312
191,41.87178017,-87.64816929,78.37833,89.54943,100.555,88.40437
192,41.87178017,-87.64816929,77.70645,91.80724,99.66441,87.54499
193,41.87177983,-87.64817282,78.1752,98.69006,93.48473,90.26374
194,41.87177972,-87.64817584,78.49551,92.32287,89.30504,99.52937
195,41.87177977,-87.6481786,77.40958,91.22912,90.50035,88.59187
196,41.87177945,-87.64818516,79.03458,96.27599,97.00035,97.03718
197,41.8717793,-87.64818853,77.15176,93.81506,92.35973,103.0919
198,41.87177913,-87.64819501,78.4252,94.72131,92.14879,95.4278
199,41.87177908,-87.64819828,79.18301,95.62756,104.3519,108.4512
200,41.87177905,-87.64820491,77.2377,94.99474,91.14879,96.70905
201,41.87177911,-87.64820824,78.87051,115.4557,99.69566,97.52937
202,41.87177927,-87.64821501,77.66739,101.2604,97.9066,96.2403
203,41.87177938,-87.64821845,81.87833,103.5104,95.03941,107.9825
204,41.87177973,-87.64822181,78.4252,96.45568,98.85191,92.77937
205,41.87178008,-87.64822518,78.40958,104.3932,89.75816,97.1778
206,41.87178072,-87.64823207,79.50333,87.01037,99.3441,94.93562
207,41.87178101,-87.64823555,81.24551,96.94787,85.56285,96.94343
208,41.87178156,-87.64824257,79.65958,88.05724,95.50816,93.14655
209,41.87178179,-87.64824612,78.26895,98.15881,88.63316,103.9747
210,41.87178223,-87.64825329,79.45645,90.29943,92.54723,89.45124
211,41.87178244,-87.64825695,78.76114,97.09631,113.4066,90.65437
212,41.87178281,-87.64826433,79.19864,88.50256,100.2504,91.66218
213,41.87178298,-87.64826808,78.21426,94.66662,86.82066,88.44343
214,41.87178342,-87.6482758,77.7377,93.03381,86.92223,97.2403
215,41.87178358,-87.64827965,76.94083,103.1119,96.19566,95.52155
216,41.87178373,-87.64828729,80.85489,94.78381,98.80504,90.14655
217,41.87178368,-87.64829107,82.3627,103.401,86.66441,92.60749
218,41.87178353,-87.64829868,79.57364,107.1666,95.71129,100.4356
219,41.87178343,-87.64830248,80.68301,88.63537,89.71129,90.38093
220,41.8717834,-87.64831049,77.57364,93.87756,85.63316,100.7637
221,41.8717833,-87.64831447,80.18301,98.87756,84.9066,98.09187
222,41.87178299,-87.64832239,80.47208,93.87756,89.18004,91.68562
223,41.87178276,-87.64832633,77.80801,90.80724,103.7738,107.1153
224,41.8717825,-87.64833026,76.33145,92.84631,88.66441,102.1153
225,41.8717825,-87.64833026,79.72989,94.85412,97.99254,97.26374
226,41.87178181,-87.64833824,81.08926,99.01818,95.89879,92.1778
227,41.87178181,-87.64833824,82.50333,95.47912,91.1566,90.00593
228,41.87178181,-87.64833824,77.96426,89.64318,97.9066,102.7247
229,41.87178181,-87.64833824,79.47208,96.50256,98.50035,102.4122
230,41.87178181,-87.64833824,79.22989,87.94006,97.64879,98.54499
231,41.87178181,-87.64833824,81.01114,96.76818,89.64098,91.87312
232,41.87178181,-87.64833824,79.65958,94.79162,95.00816,95.06062
233,41.87178181,-87.64833824,77.64395,86.84631,90.44566,91.89655
234,41.87178181,-87.64833824,77.12051,97.20568,89.89879,119.7637
235,41.87178181,-87.64833824,80.59708,92.90099,101.4144,95.31062
236,41.87178181,-87.64833824,78.59708,91.25256,89.75816,92.75593
237,41.87178181,-87.64833824,78.15958,99.16662,101.9066,100.42
238,41.87178181,-87.64833824,80.99551,99.76037,99.39098,88.18562
239,41.87178181,-87.64833824,78.15958,107.026,96.99254,95.38874
240,41.87178181,-87.64833824,80.26895,92.01818,99.13316,89.77155
241,41.87178181,-87.64833824,81.87051,100.5651,95.99254,94.66218
242,41.87178181,-87.64833824,79.05801,98.36974,94.29723,90.68562
243,41.87178181,-87.64833824,80.29239,101.8541,90.17223,95.7403
244,41.87178181,-87.64833824,81.20645,89.96349,97.14098,94.1778
245,41.87178181,-87.64833824,77.28458,93.97131,95.64098,89.39655
246,41.87178181,-87.64833824,80.1127,92.15099,90.72691,92.91218
247,41.87178181,-87.64833824,78.97208,89.61193,100.4379,105.1856
248,41.87178181,-87.64833824,78.40958,93.08849,96.19566,94.12312
249,41.87178181,-87.64833824,79.05801,96.22131,100.2504,93.38093
250,41.87178181,-87.64833824,76.78458,97.39318,95.20348,89.91999
